product,country,correction_bnusd_per_mt_feed
dairy,AFG,0.12791180238127708
dairy,AGO,-0.08416380919516087
dairy,ALB,0.19505223631858826
dairy,ARE,0.03627485129982233
dairy,ARG,-0.07221685722470284
dairy,ARM,0.08715363219380379
dairy,ASM,-0.0
dairy,ATG,-0.07592099998146296
dairy,AUS,-0.0
dairy,AUT,0.15620851516723633
dairy,AZE,0.09327491000294685
dairy,BDI,-0.07513197138905525
dairy,BEL,0.1872514709830284
dairy,BEN,-0.14147235080599785
dairy,BFA,-0.1531764380633831
dairy,BGD,-0.04533999151317403
dairy,BGR,0.20718435943126678
dairy,BHS,-0.015507563948631287
dairy,BIH,0.2999381870031357
dairy,BLR,0.09056019969284534
dairy,BLZ,-0.1024705208837986
dairy,BOL,-0.1219937801361084
dairy,BRA,-0.0758574940264225
dairy,BRB,-0.25489169359207153
dairy,BRN,-0.06425443384796381
dairy,BTN,0.041155390441417694
dairy,BWA,-0.11366160213947296
dairy,CAF,-0.087395329028368
dairy,CAN,-0.24621636420488358
dairy,CHE,0.18784444779157639
dairy,CHL,-0.06874720379710197
dairy,CHN,0.20192871987819672
dairy,CIV,-0.1476045846939087
dairy,CMR,-0.15868595242500305
dairy,COD,-0.1629258692264557
dairy,COG,-0.15764021128416061
dairy,COL,-0.07755492255091667
dairy,COM,-0.05018387921154499
dairy,CPV,-0.09495819546282291
dairy,CRI,-0.03911680355668068
dairy,CUB,-0.1366228424012661
dairy,CYP,0.19322698563337326
dairy,CZE,0.13805082440376282
dairy,DEU,0.1647600457072258
dairy,DJI,-0.01990952342748642
dairy,DNK,0.19212882220745087
dairy,DOM,-0.029541434720158577
dairy,DZA,0.06774471700191498
dairy,ECU,-0.11739421635866165
dairy,EGY,-0.017645709216594696
dairy,ERI,-0.06988516263663769
dairy,ESP,0.05794329382479191
dairy,EST,0.16857505589723587
dairy,ETH,-0.10135776549577713
dairy,FIN,0.26627929508686066
dairy,FJI,-0.0
dairy,FRA,0.0997760221362114
dairy,GAB,-0.008950671181082726
dairy,GBR,0.20347750931978226
dairy,GEO,0.062159775756299496
dairy,GHA,-0.07637827843427658
dairy,GIN,-0.1472262218594551
dairy,GMB,-0.11502793431282043
dairy,GNB,-0.155264213681221
dairy,GNQ,-0.0
dairy,GRC,0.10385940596461296
dairy,GRD,-0.1240101046860218
dairy,GTM,-0.06310965493321419
dairy,GUF,-0.0
dairy,GUY,-0.027454284019768238
dairy,HND,-0.06070470064878464
dairy,HRV,0.1080382913351059
dairy,HTI,-0.009204399771988392
dairy,HUN,0.16918785125017166
dairy,IDN,-0.01990160346031189
dairy,IND,-0.0
dairy,IRL,0.06295975111424923
dairy,IRN,0.1451716423034668
dairy,IRQ,-0.01339639350771904
dairy,ISL,0.178692527115345
dairy,ISR,0.018660545349121094
dairy,ITA,0.1228359304368496
dairy,JAM,-0.055078115314245224
dairy,JOR,0.24163123220205307
dairy,JPN,0.18433883041143417
dairy,KAZ,0.1837495192885399
dairy,KEN,-0.08214854076504707
dairy,KGZ,0.2642124593257904
dairy,KHM,-0.012001512572169304
dairy,KOR,0.20860543102025986
dairy,LAO,0.033547356724739075
dairy,LBN,0.23185082525014877
