product,country,correction_bnusd_per_mt_feed
dairy,AFG,-3.8439810276031494
dairy,AGO,-0.8578545451164246
dairy,ALB,-6.685749769210815
dairy,ARE,-2.8435537815093994
dairy,ARG,-3.3028093576431274
dairy,ARM,-3.3863080739974976
dairy,ASM,-0.0
dairy,ATG,-2.9530909061431885
dairy,AUS,-4.353146553039551
dairy,AUT,-5.460927963256836
dairy,AZE,-4.173102378845215
dairy,BDI,-0.6362149566411972
dairy,BEL,-5.377831697463989
dairy,BEN,-0.9299183189868927
dairy,BFA,-0.8408021032810211
dairy,BGD,-2.269752860069275
dairy,BGR,-5.913849592208862
dairy,BHS,-2.8210678100585938
dairy,BIH,-7.059712171554565
dairy,BLR,-4.814085960388184
dairy,BLZ,-1.678867220878601
dairy,BOL,-1.5456869006156921
dairy,BRA,-2.504796266555786
dairy,BRB,-2.0641424655914307
dairy,BRN,-1.589586317539215
dairy,BTN,-3.439523220062256
dairy,BWA,-1.5026724934577942
dairy,CAF,-0.6699433624744415
dairy,CAN,-7.2704713344573975
dairy,CHE,-6.303028106689453
dairy,CHL,-3.0354422330856323
dairy,CHN,-4.236709237098694
dairy,CIV,-0.8769570887088776
dairy,CMR,-0.873834878206253
dairy,COD,-0.6393974125385284
dairy,COG,-0.8836212754249573
dairy,COL,-3.058268666267395
dairy,COM,-1.2297999858856201
dairy,CPV,-2.108674168586731
dairy,CRI,-1.7330363988876343
dairy,CUB,-2.0202534198760986
dairy,CYP,-5.885890245437622
dairy,CZE,-5.204859256744385
dairy,DEU,-5.7316670417785645
dairy,DJI,-0.27268654108047485
dairy,DNK,-6.6896586418151855
dairy,DOM,-0.5218610167503357
dairy,DZA,-3.5116840600967407
dairy,ECU,-2.8533982038497925
dairy,EGY,-3.109435200691223
dairy,ERI,-0.8425732254981995
dairy,ESP,-4.54748272895813
dairy,EST,-6.50674843788147
dairy,ETH,-0.8998948931694031
dairy,FIN,-6.9389801025390625
dairy,FJI,-3.7071350812911987
dairy,FRA,-4.8388285636901855
dairy,GAB,-1.5558507442474365
dairy,GBR,-5.413375377655029
dairy,GEO,-3.79621684551239
dairy,GHA,-0.5014791637659073
dairy,GIN,-0.805816650390625
dairy,GMB,-1.3123441338539124
dairy,GNB,-0.8730441629886627
dairy,GNQ,-0.0
dairy,GRC,-4.345178961753845
dairy,GRD,-2.13318932056427
dairy,GTM,-1.9704382419586182
dairy,GUF,-0.0
dairy,GUY,-2.390060067176819
dairy,HND,-2.8973848819732666
dairy,HRV,-4.354708790779114
dairy,HTI,-0.444916695356369
dairy,HUN,-5.842557191848755
dairy,IDN,-2.4604625701904297
dairy,IND,-2.8502471446990967
dairy,IRL,-5.359534502029419
dairy,IRN,-4.487344980239868
dairy,IRQ,-2.0122926235198975
dairy,ISL,-5.726993560791016
dairy,ISR,-5.995430946350098
dairy,ITA,-5.168704032897949
dairy,JAM,-0.9064240455627441
dairy,JOR,-5.807857275009155
dairy,JPN,-4.134339451789856
dairy,KAZ,-4.110336661338806
dairy,KEN,-1.2546409964561462
dairy,KGZ,-5.046715497970581
dairy,KHM,-1.099793016910553
dairy,KOR,-4.774104356765747
dairy,LAO,-2.096375286579132
dairy,LBN,-5.4027934074401855
dairy,LBR,-1.015991598367691
dairy,LBY,-3.2563037872314453
dairy,LKA,-2.747642755508423
dairy,LSO,-1.6603530645370483
dairy,LTU,-6.47938871383667
dairy,LUX,-5.826655864715576
dairy,LVA,-6.459905385971069
dairy,MAR,-3.5159672498703003
dairy,MDA,-4.84002161026001
dairy,MDG,-0.9951201677322388
dairy,MEX,-3.228703737258911
dairy,MKD,-5.576119422912598
dairy,MLI,-0.49306516349315643
dairy,MLT,-6.5464677810668945
dairy,MMR,-1.9275662899017334
dairy,MNE,-7.5
dairy,MNG,-2.3578930497169495
dairy,MOZ,-1.5920689702033997
dairy,MRT,-1.097585916519165
dairy,MUS,-1.6060987710952759
dairy,MWI,-0.9840563237667084
dairy,MYS,-1.9335718750953674
dairy,NAM,-1.0020062625408173
dairy,NER,-0.8561239540576935
dairy,NGA,-0.49905306100845337
dairy,NIC,-1.956833302974701
dairy,NLD,-6.40614652633667
dairy,NOR,-6.099507093429565
dairy,NPL,-2.561981439590454
dairy,NZL,-6.161337852478027
dairy,OMN,-2.480233669281006
dairy,PAK,-2.909281849861145
dairy,PAN,-2.218656003475189
dairy,PER,-2.3185856342315674
dairy,PHL,-3.2545450925827026
dairy,PNG,-4.340584993362427
dairy,POL,-5.308419704437256
